"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",
0,0,1,1,1,0,30.2966629166451,0.0228452030569315,0.00737400271621011,0.0166861717958221,
0.011,0.011,1,1,1,0,30.2971814770754,0.0227348180487752,0.00720685359445661,0.0166521115741954,
0.021,0.021,1,1,1,0,30.297460873859,0.0209779711440206,0.00744685542577505,0.0169960505917478,
0.032,0.032,1,1,1,0,30.2974251110707,0.0209060031920671,0.00740257103664353,0.0170414878858408,
0.042,0.042,1,1,1,0,30.2969892520883,0.0227142591029406,0.00745980080976933,0.016678841482361,
0.052,0.052,1,1,1,0,30.2955073315483,0.0230459263548255,0.00734017242314592,0.0169815319563697,
0.064,0.064,1,1,1,0,30.2974005241537,0.0227713491767645,0.00759656553203985,0.0168615845995413,
0.075,0.075,1,1,1,0,30.29622035214,0.0231176381930709,0.00759318948765285,0.0171107975082757,
0.085,0.085,1,1,1,0,30.2966137428112,0.0214268919080496,0.00723456044149473,0.0168766002053236,
0.096,0.096,1,1,1,0,30.2972082991666,0.0214504776522517,0.00774641533669308,0.0168975439580696,
0.107,0.107,1,1,1,0,30.2972418267807,0.0217746244743466,0.00729653995982706,0.0166490055091695,
0.117,0.117,1,1,1,0,30.2965735096744,0.0216415151953697,0.00734087091508806,0.0167639299151274,
0.128,0.128,1,1,1,0,30.2965712745001,0.0216964166611433,0.00725903094253428,0.0168526391322668,
0.138,0.138,1,1,1,0,30.2963812846873,0.0229096505790949,0.00736396771530807,0.016703086538506,
0.149,0.149,1,1,1,0,30.2960951823809,0.0233460450544953,0.00699216045450829,0.0170863039669287,
0.159,0.159,1,1,1,0,30.2965846855457,0.0210386933758855,0.00743379362645708,0.0170009138021312,
0.169,0.169,1,1,1,0,30.2970138390053,0.0224512768909335,0.00703476846297867,0.0171114364702239,
0.18,0.18,1,1,1,0,30.2972418267807,0.022436399012804,0.00697670049952231,0.0168972954728676,
0.192,0.192,1,1,1,0,30.2977067430285,0.0218957662582397,0.00766003516651541,0.0169874246054474,
0.205,0.205,1,1,1,0,30.2966048021142,0.0229287892580032,0.00731803022858016,0.0170293476088254,
0.216,0.216,1,1,1,0,30.2968126733211,0.0230238074436784,0.00751330529253706,0.0169457855851574,
0.218,0.218,1,1,1,0,30.2967858512299,0.0212639570236206,0.00733041681902073,0.0163550475151194,
0.22,0.22,1,1,1,0,30.2974429924648,0.0237134750932455,0.00731740158583224,0.0170518710174988,
0.233,0.233,1,1,1,0,30.2965824503715,0.0225191935896873,0.00715942599158548,0.0167863113322568,
0.244,0.244,1,1,1,0,30.2970987756275,0.0214186031371355,0.00741546985450834,0.016944117184515,
0.254,0.254,1,1,1,0,30.2967299718732,0.0225573312491179,0.00743046414819956,0.0167190250893245,
0.264,0.264,1,1,1,0,30.2971524198099,0.0227831536903977,0.00737984676545933,0.0167502454800705,
0.274,0.274,1,1,1,0,30.297860970053,0.0218326924368739,0.00752885837978199,0.0168822976160283,
0.284,0.284,1,1,1,0,30.2969244320346,0.0212360406294465,0.00760816049827933,0.0167304021617908,
0.295,0.295,1,1,1,0,30.2975078125186,0.02330441493541,0.00703332491296492,0.0173253289823781,
0.308,0.308,1,1,1,0,30.2972172398637,0.0205581309273839,0.00747712340993434,0.0173217436958911,
0.318,0.318,1,1,1,0,30.2971926529468,0.0217934604734182,0.00752597127975449,0.0166990752773868,
0.328,0.328,1,1,1,0,30.2973714668882,0.0232400372624397,0.00709861062649004,0.0168880660225049,
0.338,0.338,1,1,1,0,30.2964014012557,0.021411431953311,0.00735386286521181,0.0172023288073529,
0.348,0.348,1,1,1,0,30.297436286942,0.0218958361074328,0.00772206125097722,0.0167909793042671,
0.359,0.359,1,1,1,0,30.2967299718732,0.0223709270358086,0.00744345609832332,0.0169326691162767,
0.369,0.369,1,1,1,0,30.2970786590591,0.0223445007577538,0.00738296669613421,0.0168995318396862,
0.379,0.379,1,1,1,0,30.2973938186309,0.0215752050280571,0.00763228175334781,0.0168244005639457,
0.389,0.389,1,1,1,0,30.2965444524089,0.0223423819988966,0.00754182704684101,0.0167264973943297,
0.416,0.416,1,1,1,0,30.2966629166451,0.0205311924219131,0.00750480697390772,0.0170730987533329,
0.427,0.427,1,1,1,0,30.2964550454382,0.0208370620384812,0.00711232435162067,0.0170773939975401,
0.437,0.437,1,1,1,0,30.2970652480135,0.0216889195144176,0.00769468036684543,0.0167119610100085,
0.447,0.447,1,1,1,0,30.296519865492,0.0220976304262877,0.00719875108792782,0.0165489902153359,
0.457,0.457,1,1,1,0,30.2974698145561,0.0214375322684646,0.00726734299664572,0.0172524695713422,
0.467,0.467,1,1,1,0,30.2976754505888,0.0220000045374036,0.00750711199731678,0.0166903072995423,
0.477,0.477,1,1,1,0,30.2969736058685,0.0220676185563207,0.00736417726289071,0.0170040908629291,
0.488,0.488,1,1,1,0,30.2966517407738,0.0215788604691625,0.00762618159038648,0.0171675408790629,
0.498,0.498,1,1,1,0,30.2973379392742,0.0224143732339144,0.0076684403528858,0.0172190838095497,
0.515,0.515,1,1,1,0,30.2959923643646,0.0224849907681346,0.00742962595786899,0.0172881626957254,
0.525,0.525,1,1,1,0,30.2972306509093,0.0225486000999808,0.00742794957720786,0.0169738644129915,
0.535,0.535,1,1,1,0,30.2963835198616,0.0210851896554232,0.00741356064319983,0.0168665365546398,
0.553,0.553,1,1,1,0,30.296919961686,0.0210832105949521,0.00721153349046893,0.0168294945105882,
0.563,0.563,1,1,1,0,30.2966360945539,0.023277779109776,0.00732813507867642,0.0169108024184944,
0.582,0.582,1,1,1,0,30.2964908082265,0.0228004762902856,0.00767074537629485,0.0173604186426991,
0.592,0.592,1,1,1,0,30.296287407368,0.022616283968091,0.00745840382588506,0.0166081474423718,
0.602,0.602,1,1,1,0,30.2972082991666,0.0216342741623521,0.00751048804170378,0.0169383842759243,
0.612,0.612,1,1,1,0,30.2973580558426,0.0224055023863912,0.00700443062962517,0.0169420583071264,
0.622,0.622,1,1,1,0,30.2970093686568,0.0231975456699729,0.00755798549376912,0.0169074833661525,
0.632,0.632,1,1,1,0,30.2966249186826,0.021201279014349,0.00716308143274933,0.0170848840514883,
0.642,0.642,1,1,1,0,30.2971390087643,0.0214980216696858,0.0077854843193233,0.0169363431474787,
