Total Cycles,Elapsed Cycles,Step,PC:Cycle Start Time (s),PC:Frequency (Hz),"Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",width,thickness
1,1,2,2.201,3,36.49942574,33.23490231,0.992926862,-2.416262589,0.776436705,-1.952596413,1.364516559,13,5
2,2,2,2.535,3,37.96615156,33.44901189,2.280313894,-2.193650976,1.824776857,-2.015888723,1.92033279,,
3,3,2,2.868,3,38.19717024,33.65298942,2.447422594,-2.007309347,1.826942741,-1.86381045,1.845376596,,
4,4,2,3.202,3,38.24400161,33.68905172,2.472815476,-1.97402779,1.833109214,-1.836554922,1.834832068,,
5,5,2,3.535,3,38.26254461,33.69570137,2.477941103,-1.968727261,1.837845176,-1.835655637,1.836750406,,
6,6,2,3.868,3,38.27486936,33.70009796,2.481526136,-1.966904849,1.844132907,-1.839687518,1.841910213,,
7,7,2,4.202,3,38.27999238,33.69857804,2.483366802,-1.966954581,1.84812288,-1.843450807,1.845786843,,
8,8,2,4.535,3,38.28468625,33.69713188,2.483377233,-1.96732115,1.851737156,-1.848310262,1.850023709,,
9,9,2,4.868,3,38.28954552,33.69553373,2.483252622,-1.971745864,1.856332675,-1.853016421,1.854674548,,
10,10,2,5.202,3,38.29322909,33.69273753,2.484373376,-1.974805631,1.85837432,-1.859079331,1.858726826,,
11,11,2,5.535,3,38.29558049,33.69111479,2.483630739,-1.976967417,1.860426582,-1.864747547,1.862587065,,
12,12,2,5.868,3,38.29895113,33.69005755,2.485360764,-1.978055201,1.862929419,-1.867479675,1.865204547,,
13,13,2,6.202,3,38.30291633,33.68794308,2.486906946,-1.978691295,1.865641989,-1.871188946,1.868415468,,
14,14,2,6.535,3,38.30593829,33.6892216,2.48426646,-1.980874315,1.86619594,-1.872575499,1.869385719,,
15,15,2,6.868,3,38.30929999,33.68833423,2.486170828,-1.981017366,1.869402111,-1.874137327,1.871769719,,
16,16,2,7.202,3,38.3121923,33.68949876,2.48703789,-1.97938513,1.871843852,-1.875517361,1.873680607,,
17,17,2,7.535,3,38.3143336,33.69147689,2.483777888,-1.980375685,1.871973679,-1.875247278,1.873610478,,
18,18,2,7.868,3,38.31720803,33.69357572,2.486682124,-1.978874579,1.875195123,-1.874671906,1.874933515,,
19,19,2,8.202,3,38.31965332,33.69348184,2.486856282,-1.977661066,1.877542429,-1.874591813,1.876067121,,
20,20,2,8.535,3,38.32256798,33.69721905,2.486540191,-1.97425019,1.877412975,-1.8738475,1.875630237,,
21,21,2,8.868,3,38.32455282,33.69878144,2.485968359,-1.974686049,1.880335465,-1.871854469,1.876094967,,
22,22,2,9.202,3,38.32529042,33.70058522,2.487514168,-1.972749829,1.881747723,-1.871020563,1.876384143,,
23,23,2,9.535,3,38.32733784,33.70297015,2.484335564,-1.97149571,1.880971931,-1.871277608,1.87612477,,
24,24,2,9.868,3,38.3290187,33.70420844,2.485614829,-1.970797405,1.883159981,-1.870138228,1.876649104,,
25,25,2,10.202,3,38.33032404,33.70427997,2.486000769,-1.970370673,1.884034679,-1.870441839,1.877238259,,
26,26,2,10.535,3,38.33100353,33.70742486,2.48325672,-1.96811799,1.883400075,-1.870122023,1.876761049,,
27,27,2,10.868,3,38.33300625,33.70786519,2.483337186,-1.968747377,1.885336295,-1.869548701,1.877442498,,
28,28,2,11.202,3,38.33377962,33.71061892,2.48375237,-1.96824763,1.886400238,-1.868277073,1.877338656,,
29,29,2,11.535,3,38.33371703,33.71078432,2.483377606,-1.964968629,1.885752596,-1.868793398,1.877272997,,
30,30,2,11.868,3,38.33601032,33.712416,2.481567115,-1.966530271,1.887411282,-1.868857473,1.878134378,,
31,31,2,12.202,3,38.33438311,33.71388675,2.481624112,-1.965733431,1.887177334,-1.868273906,1.87772562,,
