Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
0,0,1,1,1,0,45.66973332,0.00299837,0.000919891,0.001579917,13,5
0.01,0.01,1,1,1,0,45.66951875,0.001585204,0.000871695,0.001977393,,
0.02,0.02,1,1,1,0,45.6697065,0.001162081,0.000765757,0.002079405,,
0.031,0.031,1,1,1,0,45.66980485,0.001385901,0.000779354,0.001742842,,
0.042,0.042,1,1,1,0,45.66930864,0.001383899,0.000761123,0.001878769,,
0.052,0.052,1,1,1,0,45.6700239,0.001695915,0.00065614,0.001853226,,
0.063,0.063,1,1,1,0,45.66969309,0.00161184,0.000296277,0.002010386,,
0.074,0.074,1,1,1,0,45.66924606,0.0019114,0.000452762,0.001880224,,
0.085,0.085,1,1,1,0,45.66948299,0.003353972,0.000555161,0.002030767,,
0.096,0.096,1,1,1,0,45.66919241,0.002760906,0.000601192,0.001801821,,
0.107,0.107,1,1,1,0,45.66931758,0.002048048,0.000802078,0.001950484,,
0.117,0.117,1,1,1,0,45.6692997,0.001549791,0.000883476,0.001746904,,
0.128,0.128,1,1,1,0,45.66982273,0.001143385,0.00087528,0.002047423,,
0.129,0.129,1,1,1,0,45.66970203,0.00089407,0.001168367,0.001956444,,
0.141,0.141,1,1,1,0,45.66942934,0.002824096,-6.80E-05,0.001759799,,
0.152,0.152,1,1,1,0,45.66988979,0.002332986,0.00041381,0.001939025,,
0.162,0.162,1,1,1,0,45.66906724,0.001520826,0.000758213,0.001980408,,
0.172,0.172,1,1,1,0,45.66981379,0.001170114,0.000786618,0.002469555,,
0.183,0.183,1,1,1,0,45.66956345,0.000678422,0.001035561,0.001865625,,
0.194,0.194,1,1,1,0,45.66928629,0.001152884,0.000573508,0.002178171,,
0.204,0.204,1,1,1,0,45.66957239,0.002590544,0.000651553,0.002217674,,
0.215,0.215,1,1,1,0,45.67019824,0.001950259,0.000734837,0.001912241,,
0.225,0.225,1,1,1,0,45.66910301,0.000788039,0.000920519,0.002109205,,
0.235,0.235,1,1,1,0,45.6696618,0.002145115,0.000489247,0.001803896,,
0.246,0.246,1,1,1,0,45.6696171,0.002222671,0.000576745,0.001707064,,
0.256,0.256,1,1,1,0,45.66981826,0.001998455,0.000620191,0.001804961,,
0.266,0.266,1,1,1,0,45.66941146,0.002174638,0.000574463,0.001838415,,
0.276,0.276,1,1,1,0,45.669255,0.001223269,0.000638212,0.002128291,,
0.286,0.286,1,1,1,0,45.66965286,0.001433748,0.000186334,0.001952187,,
0.306,0.306,1,1,1,0,45.66872303,0.000462821,0.000612531,0.002033818,,
0.316,0.316,1,1,1,0,45.66933546,0.000790809,0.000699167,0.002079813,,
0.326,0.326,1,1,1,0,45.66959474,0.00230507,0.000590715,0.001879869,,
0.336,0.336,1,1,1,0,45.66955004,0.001409883,0.000564824,0.002234702,,
0.346,0.346,1,1,1,0,45.66989873,0.000575394,0.000685244,0.001951673,,
0.357,0.357,1,1,1,0,45.66945169,0.001639058,0.000349362,0.002092141,,
