"Total Cycles","Elapsed Cycles","Step","PC:Cycle Start Time (s)","PC:Frequency (Hz)","Position(8800 (0,1):Position):Maximum (mm)","Position(8800 (0,1):Position):Minimum (mm)","Load(8800 (0,1):Load):Maximum (kN)","Load(8800 (0,1):Load):Minimum (kN)","Strain(8800 (0,1):Axial Strain):Maximum (%)","Strain(8800 (0,1):Axial Strain):Minimum (%)","Strain(8800 (0,1):Axial Strain):Amplitude (%)",
1,1,2,3.204,3,32.2403190515108,30.0124426270132,0.686972169205546,-1.60135254263878,0.518534154545841,-1.20680259608916,0.8626683753175,
2,2,2,3.538,3,33.0942874973535,30.023754843986,1.53710171580315,-1.58364214003086,1.21509304351652,-1.20846062969528,1.2117768366059,
3,3,2,3.871,3,33.10456482864,30.0309901030931,1.5400804579258,-1.57454237341881,1.21576545842615,-1.20654191889635,1.21115368866125,
4,4,2,4.205,3,33.1175154283516,30.0309118719937,1.54946641996503,-1.57970022410154,1.22328765784942,-1.21005877925889,1.21667321855415,
5,5,2,4.538,3,33.1230228977492,30.0277401597067,1.55738582834601,-1.57868936657906,1.22520059444828,-1.21492149389553,1.22006104417191,
6,6,2,4.871,3,33.1309488257052,30.0266404539666,1.56145030632615,-1.57932247966528,1.23019415990876,-1.21722502718844,1.2237095935486,
7,7,2,5.205,3,33.1359466753695,30.0237034349779,1.56375095248222,-1.58655978739262,1.23370468727768,-1.21955845593648,1.22663157160708,
8,8,2,5.538,3,33.1416955435881,30.022272923446,1.56540293246508,-1.58805884420872,1.23639742028075,-1.22246753517709,1.22943247772892,
9,9,2,5.871,3,33.145857438076,30.0204624322886,1.57234314829111,-1.58527325838804,1.23845843717135,-1.22620502586108,1.23233173151621,
10,10,2,6.205,3,33.14942030586,30.0187659350188,1.57257076352835,-1.59253757447004,1.24051423865545,-1.22736275297211,1.23393849581378,
11,11,2,6.538,3,33.1537811308578,30.0171342578028,1.5741253271699,-1.59180667251348,1.24327719338177,-1.22899722411671,1.23613720874924,
12,12,2,6.871,3,33.1573372931189,30.0143313492701,1.57812256366014,-1.59178785979748,1.24444926286067,-1.23252200072125,1.23848563179096,
13,13,2,7.205,3,33.158828154356,30.0138373757568,1.57914720475674,-1.59708112478256,1.24675121290518,-1.23359358049275,1.24017239669897,
14,14,2,7.538,3,33.1611773225122,30.0121118212215,1.5821386128664,-1.59633737057447,1.24768514319795,-1.2353300314609,1.24150758732943,
15,15,2,7.871,3,33.1635354313654,30.0105963730675,1.58218219876289,-1.59474983811378,1.24879602478272,-1.23672729474196,1.24276165976234,
16,16,2,8.205,3,33.1665864442419,30.0101716899565,1.5829699113965,-1.60076394677162,1.25086011503787,-1.23848972961036,1.24467492232411,
17,17,2,8.538,3,33.1681711827983,30.0092128001953,1.58593114465475,-1.6029566526413,1.25116381933431,-1.23983530448769,1.245499561911,
18,18,2,8.871,3,33.1705985820538,30.0100129925834,1.58810503780842,-1.59761793911457,1.25112870847269,-1.24041738110614,1.24577304478941,
19,19,2,9.205,3,33.1715798235577,30.0093178533859,1.58593505620956,-1.60356108099222,1.25228671498049,-1.24123135704938,1.24675903601493,
20,20,2,9.538,3,33.1731667972883,30.0087165915077,1.5891445800662,-1.60384401679039,1.2541033528236,-1.24312520153516,1.24861427717938,
21,21,2,9.871,3,33.1752320983124,30.0085489534375,1.59193482249975,-1.6004391014576,1.25379666829488,-1.24415142589655,1.24897404709571,
22,22,2,10.205,3,33.1763340392268,30.0081667386376,1.59132741391659,-1.60321723669767,1.25554680970509,-1.24406788626027,1.24980734798268,
23,23,2,10.538,3,33.1777064362276,30.0076414726845,1.59204881638288,-1.60571355372667,1.25590089855363,-1.24476712326048,1.25033401090705,
24,24,2,10.871,3,33.1780439475422,30.0078247569745,1.59295666962862,-1.6019893810153,1.25488314922781,-1.24584289398363,1.25036302160572,
25,25,2,11.205,3,33.1799594918903,30.0077375851781,1.59359071403742,-1.60418841987848,1.25592967642165,-1.24639656526309,1.25116312084237,
26,26,2,11.538,3,33.1803595880843,30.0080326281815,1.59174669533968,-1.60586591809988,1.25598676649638,-1.2464673457799,1.25122705613814,
27,27,2,11.871,3,33.1812156598291,30.0070133887151,1.59432850778103,-1.60135552287102,1.25481218244648,-1.24672476334364,1.25076847289506,
28,28,2,12.205,3,33.1818593900185,30.0069508038356,1.59267392009497,-1.6052108258009,1.25615514962057,-1.24747550248305,1.25181532605181,
29,29,2,12.538,3,33.1827601652487,30.0062936626006,1.59297604113817,-1.60553231835365,1.25620367152748,-1.24842051551463,1.25231209352106,
30,30,2,12.871,3,33.1843806665933,30.0074157200834,1.59612465649843,-1.60300377756357,1.25571034995181,-1.24812025711177,1.25191530353179,
31,31,2,13.205,3,33.1847159427336,30.0072726689302,1.59389860928059,-1.60601530224085,1.25676609723929,-1.24896794693275,1.25286702208602,
32,32,2,13.538,3,33.187308744885,30.0076168857676,1.59690361469984,-1.60592794418335,1.25795642064095,-1.25027608264198,1.25411625164147,
33,33,2,13.871,3,33.1875032050464,30.0076079450705,1.597910374403,-1.60024296492338,1.25637391729684,-1.24964846434891,1.25301119082288,
34,34,2,14.205,3,33.1893695755606,30.0088462316152,1.59786231815815,-1.60416290163994,1.25771874711611,-1.24891579286774,1.25331726999192,
35,35,2,14.538,3,33.189964131916,30.0089892827684,1.59529261291027,-1.60550884902477,1.25801108927696,-1.24969381975902,1.25385245451799,
36,36,2,14.871,3,33.1917075678454,30.0088685833579,1.59971117973328,-1.59904025495052,1.25733280703501,-1.24985093387987,1.25359187045744,
37,37,2,15.205,3,33.1918617948699,30.0090541028222,1.59813035279512,-1.6027731820941,1.25842562096155,-1.25001577797821,1.25422069946988,
38,38,2,15.538,3,33.1935515866169,30.0089892827684,1.59716531634331,-1.60172060132027,1.2589484654633,-1.25004651162367,1.25449748854349,
39,39,2,15.871,3,33.1942199037232,30.0102029823962,1.5989325940609,-1.59901399165392,1.2584053181291,-1.24996064368092,1.25418298090501,
40,40,2,16.205,3,33.1945395336436,30.0110568189668,1.5984769910574,-1.60137247294188,1.2578138351525,-1.24969503047839,1.25375443281544,
