Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)","Strain(8800 (0,1):Axial Strain) (%)","Strain(8800 (0,1):Transverse Strain) (%)",width,thickness
0,0,1,1,1,0,41.49224626,0.001782761,0.000259443,0.003379747,13,5
0.012,0.012,1,1,1,0,41.49161594,0.001995498,0.000313623,0.003346566,,
0.023,0.023,1,1,1,0,41.49228202,0.000737398,0.000216509,0.003129197,,
0.033,0.033,1,1,1,0,41.49161594,0.000474276,0.000410806,0.003385071,,
0.043,0.043,1,1,1,0,41.49183499,0.001595332,0.000462099,0.003206402,,
0.054,0.054,1,1,1,0,41.49173217,0.002344861,0.000284985,0.003162731,,
0.077,0.077,1,1,1,0,41.49222838,0.001129601,0.000594393,0.003203475,,
0.087,0.087,1,1,1,0,41.49078446,0.001273258,0.000428641,0.002811545,,
0.098,0.098,1,1,1,0,41.49106162,0.002248702,0.000364427,0.003074137,,
0.109,0.109,1,1,1,0,41.49119126,0.002336805,-8.26E-05,0.003427949,,
0.119,0.119,1,1,1,0,41.49134772,0.000414136,9.64E-05,0.003057687,,
0.133,0.133,1,1,1,0,41.49120914,0.001552724,0.000224146,0.003042296,,
0.143,0.143,1,1,1,0,41.49195122,0.001618336,0.000187126,0.002999823,,
0.158,0.158,1,1,1,0,41.49130749,0.001860573,0.000311411,0.002879494,,
0.168,0.168,1,1,1,0,41.49151312,0.001315237,0.00021467,0.003056171,,
0.182,0.182,1,1,1,0,41.49153548,0.001456356,0.000377162,0.003555454,,
0.201,0.201,1,1,1,0,41.49198698,0.000978378,0.000318792,0.003239847,,
0.212,0.212,1,1,1,0,41.49112867,0.000497908,0.000158278,0.003199949,,
0.222,0.222,1,1,1,0,41.4911555,0.001104316,0.000134273,0.002809024,,
0.232,0.232,1,1,1,0,41.49134772,0.001060986,0.000157813,0.003126094,,
0.248,0.248,1,1,1,0,41.49157124,0.001709582,0.000229385,0.003054602,,
0.258,0.258,1,1,1,0,41.49089622,0.002033659,8.76E-05,0.002920045,,
0.268,0.268,1,1,1,0,41.49158018,0.000890926,0.000431319,0.003313914,,
0.278,0.278,1,1,1,0,41.4915623,0.000386825,0.000138651,0.003224597,,
0.294,0.294,1,1,1,0,41.49137454,0.001226366,0.000353181,0.003199579,,
